financial_year,mine,mine_type,saleable_production_tonnes
FY2020,Ensham Mine - Underground,Underground,0
FY2021,Ensham Mine - Underground,Underground,0
FY2022,Ensham Mine - Underground,Underground,0
FY2023,Ensham Mine - Underground,Underground,0
FY2024,Ensham Mine - Underground,Underground,0
FY2025,Ensham Mine - Underground,Underground,0
FY2010,Fairhill Coal Mine,Open Cut,0
FY2011,Fairhill Coal Mine,Open Cut,0
FY2012,Fairhill Coal Mine,Open Cut,0
FY2013,Fairhill Coal Mine,Open Cut,0
FY2014,Fairhill Coal Mine,Open Cut,0
FY2015,Fairhill Coal Mine,Open Cut,0
FY2016,Fairhill Coal Mine,Open Cut,0
FY2017,Fairhill Coal Mine,Open Cut,0
FY2018,Fairhill Coal Mine,Open Cut,0
FY2019,Fairhill Coal Mine,Open Cut,0
FY2020,Fairhill Coal Mine,Open Cut,0
FY2021,Fairhill Coal Mine,Open Cut,0
FY2022,Fairhill Coal Mine,Open Cut,0
FY2023,Fairhill Coal Mine,Open Cut,0
FY2024,Fairhill Coal Mine,Open Cut,0
FY2025,Fairhill Coal Mine,Open Cut,0
FY2010,Foxleigh Coal Mine,Open Cut,2377222
FY2011,Foxleigh Coal Mine,Open Cut,1966303
FY2012,Foxleigh Coal Mine,Open Cut,2643739
FY2013,Foxleigh Coal Mine,Open Cut,2778439
FY2014,Foxleigh Coal Mine,Open Cut,2661671
FY2015,Foxleigh Coal Mine,Open Cut,3097926
FY2016,Foxleigh Coal Mine,Open Cut,2673761
FY2017,Foxleigh Coal Mine,Open Cut,3052767
FY2018,Foxleigh Coal Mine,Open Cut,2814890
FY2019,Foxleigh Coal Mine,Open Cut,3069942
FY2020,Foxleigh Coal Mine,Open Cut,2790713
FY2021,Foxleigh Coal Mine,Open Cut,2396826
FY2022,Foxleigh Coal Mine,Open Cut,2479387
FY2023,Foxleigh Coal Mine,Open Cut,2512103
FY2024,Foxleigh Coal Mine,Open Cut,2571839
FY2025,Foxleigh Coal Mine,Open Cut,2147174
FY2010,Goonyella Riverside And Broadmeadow Mine - Open Cut,Open Cut,13336365
FY2011,Goonyella Riverside And Broadmeadow Mine - Open Cut,Open Cut,10229859
FY2012,Goonyella Riverside And Broadmeadow Mine - Open Cut,Open Cut,9781897
FY2013,Goonyella Riverside And Broadmeadow Mine - Open Cut,Open Cut,12363837
FY2014,Goonyella Riverside And Broadmeadow Mine - Open Cut,Open Cut,14379228
FY2015,Goonyella Riverside And Broadmeadow Mine - Open Cut,Open Cut,16905895
FY2016,Goonyella Riverside And Broadmeadow Mine - Open Cut,Open Cut,17974553
FY2017,Goonyella Riverside And Broadmeadow Mine - Open Cut,Open Cut,14708264
FY2018,Goonyella Riverside And Broadmeadow Mine - Open Cut,Open Cut,15921711
FY2019,Goonyella Riverside And Broadmeadow Mine - Open Cut,Open Cut,17124950
FY2020,Goonyella Riverside And Broadmeadow Mine - Open Cut,Open Cut,17529168
FY2021,Goonyella Riverside And Broadmeadow Mine - Open Cut,Open Cut,18896478
FY2022,Goonyella Riverside And Broadmeadow Mine - Open Cut,Open Cut,16720183
FY2023,Goonyella Riverside And Broadmeadow Mine - Open Cut,Open Cut,16619871
